S.No.,Bridge Number,Bridge Name,Road Name,District,River/Stream,Chainage(Km),Length(m),Width(m),Span No,Foundation Type,Loading Capacity,Maintenance Division,Region,Completion Year,Cordinate,Bridge Type,Bridge Condition,Total Score,Load Restriction,Construction Status,Span Length(m),Data Updated Year
300,47-H001-318,Agiya Nala (Dumara nala),Mahendra Rajmarga,Kapilbastu,Agiya Nala (Dumara nala),641.125,7.6,RW-10.15 | CW-6.15,1,RCC Foundation,IRC class A/AA,Shivapur,Western,978,27.6597 | 82.9826,RCC Slab,7,3.1,0,Completed,7.6,2017
301,47-H001-315,Ghorai Nala khola,Mahendra Rajmarga,Kapilbastu,Ghorai Nala khola,636.218,21.5,RW-7.9 | CW-7,1,RCC Foundation,,Shivapur,Western,975,27.6587 | 83.0298,RCC T-Beam,7,3.1,0,Completed,21.5,2017
302,47-H001-322,jawai Khola,Mahendra Rajmarga,Kapilbastu,jawai Khola,648.775,16.6,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Shivapur,Western,982,27.6486 | 82.9101,RCC T-Beam,7,3.1,0,Completed,16.6,2017
303,47-H001-321,Bel nadi,Mahendra Rajmarga,Kapilbastu,Bel nadi,648,64.7,RW-7.9 | CW-7,3,RCC Foundation,IRC class A/AA,Shivapur,Western,981,27.6501 | 82.9155,RCC T-Beam,7,3.1,0,Completed,21.60+21.30+21.80,2017
304,47-H001-326,Chor Khola,Mahendra Rajmarga,Kapilbastu,Chor Khola,668.28,38.8,RW-8.5 | CW-7.6,1,RCC Foundation,IRC class A/AA,Shivapur,Western,986,27.7595 | 82.8460,RCC T-Beam,6,3.1,0,Completed,11.10+16.60+11.10,2017
305,47-H001-335,Nala no.3,Mahendra Rajmarga,Kapilbastu,Nala no.3,673,10.6,RW-9.2 | CW-8.3,1,RCC Foundation,IRC class A/AA,Shivapur,Western,995,27.7762 | 82.8280,RCC Slab,7,3.1,0,Completed,10.6,2017
306,47-H001-336,Dry Nala no. 4,Mahendra Rajmarga,Kapilbastu,Dry Nala no. 4,673.6,10.7,RW-9.7 | CW-8.9,1,RCC Foundation,IRC class A/AA,Shivapur,Western,996,27.7756 | 82.8221,RCC T-Beam,7,3.1,0,Completed,10.6,2017
307,47-H001-316,Dry Nala,Mahendra Rajmarga,Kapilbastu,Dry Nala,639.31,13.3,RW-7.9 | CW-7,1,RCC Foundation,,Shivapur,Western,976,27.6557 | 82.9995,RCC T-Beam,7,3.1,0,Completed,13.3,2017
308,47-H001-309,Banganga,Mahendra Rajmarga,Kapilbastu,Banganga,621.42,290,RW-7.9 | CW-7,51,RCC Foundation,,Shivapur,Western,969,27.6922 | 83.1634,RCC T-Beam,7,3.6,0,Completed,5.68,2017
309,47-H001-323,Dry Nala (Irrigation canal),Mahendra Rajmarga,Kapilbastu,Dry Nala (Irrigation canal),650.26,7.7,RW-10.2 | CW-5.7,1,RCC Foundation,IRC class A/AA,Shivapur,Western,983,27.6431 | 82.8980,RCC Slab,7,3.1,0,Completed,7.7,2017
310,56-H001-359,Bagai Sota,Mahendra Rajmarga,Dang,Bagai Sota,711.22,26.6,RW-7.9 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1249,27.8699 | 82.5415,RCC T-Beam,6,2.6,0,Completed,26.6,2017
311,56-H001-365,Hattisar Khola,Mahendra Rajmarga,Dang,Hattisar Khola,725.58,10.75,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1255,27.8929 | 82.4176,RCC Slab,6,3.1,0,Completed,10.75,2017
312,56-H001-377,Godia Khola,Mahendra Rajmarga,Dang,Godia Khola,749.655,21.9,RW-7.86 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1267,27.9647 | 82.2133,RCC Slab,7,3.1,0,Completed,11+10.9,2017
313,56-H001-339,Jharauni Khola -1,Mahendra Rajmarga,Dang,Jharauni Khola -1,679.74,9.6,RW-8.7 | CW-7.9,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1229,27.7890 | 82.7869,RCC Slab,7,3.1,0,Completed,9.6,2017
314,56-H001-376,Kali Khola,Mahendra Rajmarga,Dang,Kali Khola,747.79,21.4,RW-7.9 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1266,27.9597 | 82.2339,RCC T-Beam,7,3.1,0,Completed,21.4,2017
315,56-H001-374,Simal Sota,Mahendra Rajmarga,Dang,Simal Sota,745.44,26.5,RW-7.9 | CW-7,1,Well Foundation,IRC class A/AA,Dang,Mid-Western,1264,27.9521 | 82.2554,RCC T-Beam,7,3.1,0,Completed,26.5,2017
316,56-H001-372,Chow Khola-2,Mahendra Rajmarga,Dang,Chow Khola-2,741.95,24.3,RW-7.84 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1262,27.9461 | 82.2848,RCC T-Beam,7,3.1,0,Completed,24.3,2017
317,56-H001-371,Chow Khola-1,Mahendra Rajmarga,Dang,Chow Khola-1,741.875,10.8,RW-7.86 | CW-7,1,RCC Foundation,,Dang,Mid-Western,1261,27.9462 | 82.2856,RCC Slab,7,3.1,0,Completed,10.8,2017
318,56-H001-338,Kali Khola,Mahendra Rajmarga,Dang,Kali Khola,677.8,8.7,RW-10.3 | CW-9.4,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1228,27.7866 | 82.7951,RCC Slab,7,3.1,0,Completed,8.7,2017
319,56-H001-355,Shingai Khola,Mahendra Rajmarga,Dang,Shingai Khola,703.14,70.5,RW-7.9 | CW-7,3,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1245,27.8544 | 82.6170,RCC Slab,7,3.1,0,Completed,23.35,2017
320,56-H001-341,Jharauni Khola -3,Mahendra Rajmarga,Dang,Jharauni Khola -3,680.13,9,RW-13 | CW-6.8,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1231,27.7916 | 82.7846,RCC Slab,7,3.1,0,Completed,9,2017
321,56-H001-353,Dolai Nala,Mahendra Rajmarga,Dang,Dolai Nala,700.38,53,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1243,27.8474 | 82.6434,RCC T-Beam,7,3.1,0,Completed,26.5,2017
322,56-H001-368,Bhatarkunda Khola,Mahendra Rajmarga,Dang,Bhatarkunda Khola,730.89,26.5,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1258,27.8985 | 82.3677,RCC T-Beam,7,3.1,0,Completed,26.5,2017
323,56-H001-380,Gangari Nala,Mahendra Rajmarga,Dang,Gangari Nala,753.17,21.4,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1270,27.9826 | 82.1923,RCC Slab,7,3.1,0,Completed,10.7,2017
324,56-H001-362,Padmini Khola,Mahendra Rajmarga,Dang,Padmini Khola,716.32,11.5,RW-8.35 | CW-7.35,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1252,27.8792 | 82.4944,RCC Slab,7,3.1,0,Completed,11.5,2017
325,56-H001-379,Firangi Khola,Mahendra Rajmarga,Dang,Firangi Khola,751.15,21.6,RW-7.8 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1269,27.9756 | 82.2074,RCC Slab,7,3.1,0,Completed,10.8,2017
326,56-H001-348,Rapti River,Mahendra Rajmarga,Dang,Rapti River,687.72,290.1,RW-7.8 | CW-7,8,Well Foundation,IRC class A/AA,Dang,Mid-Western,1238,27.8386 | 82.7625,Prestress,6,3.1,0,Completed,36.26,2017
327,56-H001-373,Chow Khola-3,Mahendra Rajmarga,Dang,Chow Khola-3,743.151,24.5,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1263,27.9454 | 82.2753,RCC T-Beam,6,3.1,0,Completed,24.5,2017
328,56-H001-350,Moitre Khola,Mahendra Rajmarga,Dang,Moitre Khola,688.56,19.5,RW-8.1 | CW-7.1,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1240,27.8404 | 82.7570,RCC Slab,7,3.1,0,Completed,2*9.85,2017
329,56-H001-369,Rehar Khola,Mahendra Rajmarga,Dang,Rehar Khola,733.76,26.65,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1259,27.9064 | 82.3376,RCC T-Beam,7,3.1,0,Completed,26.65,2017
330,56-H001-340,Jharauni Khola -2,Mahendra Rajmarga,Dang,Jharauni Khola -2,679.865,8.8,RW-8.6 | CW-7.8,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1230,27.7894 | 82.7855,RCC Slab,7,3.1,0,Completed,8.8,2017
331,56-H001-358,Kauria Khola,Mahendra Rajmarga,Dang,Kauria Khola,706.67,26.4,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1248,27.8615 | 82.5820,RCC T-Beam,7,3.1,0,Completed,26.4,2017
332,56-H001-381,Shiv Khola,Mahendra Rajmarga,Dang,Shiv Khola,753.39,32.1,RW-7.9 | CW-7,3,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1271,27.9827 | 82.1902,RCC Slab,8,3.1,0,Completed,10.7,2017
333,56-H001-343,Dry Nala,Mahendra Rajmarga,Dang,Dry Nala,681.15,15.5,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1233,27.7963 | 82.7784,RCC T-Beam,7,3.1,0,Completed,15.5,2017
334,56-H001-366,Bhauka Khola,Mahendra Rajmarga,Dang,Bhauka Khola,726,21.6,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1256,27.8946 | 82.4092,RCC Slab,7,3.1,0,Completed,10.8,2017
335,56-H001-351,Katesh Nala,Mahendra Rajmarga,Dang,Katesh Nala,690.44,10.8,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1241,27.8395 | 82.7417,RCC Slab,7,3.1,0,Completed,10.8,2017
336,56-H001-344,Kunta Khola,Mahendra Rajmarga,Dang,Kunta Khola,682.355,13.3,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1234,27.8009 | 82.7727,RCC T-Beam,7,3.1,0,Completed,13.3,2017
337,56-H001-337,Dhan Khola,Mahendra Rajmarga,Dang,Dhan Khola,675.9,26.5,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,997,27.7808 | 82.8051,RCC T-Beam,7,3.1,0,Completed,26.5,2017
338,56-H001-378,Sirangi Khola,Mahendra Rajmarga,Dang,Sirangi Khola,750.5,42.9,RW-8 | CW-7.1,4,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1268,27.9702 | 82.2115,RCC Slab,7,3.1,0,Completed,10.7,2017
339,56-H001-360,Arnwa Khola,Mahendra Rajmarga,Dang,Arnwa Khola,712.26,26.7,RW-8.36 | CW-7.5,3,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1250,27.8714 | 82.5323,RCC Slab,7,3.1,0,Completed,8.73,2017
340,56-H001-354,lathowa Kulo,Mahendra Rajmarga,Dang,lathowa Kulo,700.7,10.4,RW-11.2 | CW-10.2,1,Open Foundation,IRC class A/AA,Dang,Mid-Western,1244,27.8491 | 82.6414,RCC Slab,7,3.1,0,Completed,10.4,2017
341,56-H001-361,Arjun Khola,Mahendra Rajmarga,Dang,Arjun Khola,715,165.45,RW-7.8 | CW-7,5,Well Foundation,IRC class A/AA,Dang,Mid-Western,1251,27.8822 | 82.5051,Prestress,7,3.1,0,Completed,33,2017
342,56-H001-370,Tilkanya Branch,Mahendra Rajmarga,Dang,Tilkanya Branch,739.48,11,RW-8.4 | CW-7.5,1,Open Foundation,IRC class A/AA,Dang,Mid-Western,1260,27.9372 | 82.3074,RCC Slab,7,3.1,0,Completed,11,2017
343,56-H001-352,Gopi Nala,Mahendra Rajmarga,Dang,Gopi Nala,696.98,21.5,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1242,27.8458 | 82.6788,RCC T-Beam,6,3.1,0,Completed,21.5,2017
344,56-H001-363,Kari Sota,Mahendra Rajmarga,Dang,Kari Sota,720.34,21.2,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1253,27.8753 | 82.4567,RCC Slab,7,3.1,0,Completed,10.6,2017
345,56-H001-375,Bakhari Khola,Mahendra Rajmarga,Dang,Bakhari Khola,745.8,21.4,RW-8 | CW-7.1,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1265,27.9540 | 82.2530,RCC T-Beam,5,3.1,0,Completed,21.4,2017
346,56-H001-349,Fairie Khola,Mahendra Rajmarga,Dang,Fairie Khola,688.4,16.3,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1239,27.8412 | 82.7584,RCC T-Beam,6,3.1,0,Completed,16.3,2017
347,56-H001-342,Dry Nala,Mahendra Rajmarga,Dang,Dry Nala,681,9.9,RW-8.3 | CW-7.4,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1232,27.7962 | 82.7796,RCC Slab,7,3.1,0,Completed,9.9,2017
348,56-H001-364,Unchanimbhu Khola,Mahendra Rajmarga,Dang,Unchanimbhu Khola,722.8,32,RW-8.4 | CW-7.5,3,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1254,27.8897 | 82.4406,RCC Slab,7,3.1,0,Completed,10.75+10.45+10.8,2017
349,56-H001-356,Shingai Khola Branch,Mahendra Rajmarga,Dang,Shingai Khola Branch,703.29,10.7,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1246,27.8546 | 82.6155,RCC Slab,7,3.1,0,Completed,10.7,2017
350,56-H001-367,Bathaniya Khola,Mahendra Rajmarga,Dang,Bathaniya Khola,729,21.5,RW-7.8 | CW-7,2,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1257,27.8952 | 82.3820,RCC Slab,6,3.1,0,Completed,10.75,2017
351,56-H001-357,Narte Nala,Mahendra Rajmarga,Dang,Narte Nala,703.88,10.75,RW-7.84 | CW-7,1,RCC Foundation,IRC class A/AA,Dang,Mid-Western,1247,27.8558 | 82.6096,RCC Slab,7,3.1,0,Completed,10.75,2017
352,65-H001-391,Bairiya ,Mahendra Rajmarga,Banke,Bairiya ,767.69,42.65,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1281,28.0113 | 82.0898,RCC Slab,7,3.1,0,Completed,10.5 + 10.75 + 10.70 + 10.7,2017
353,65-H001-384,Skew ,Mahendra Rajmarga,Banke,Skew ,756.71,15.3,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1274,27.9932 | 82.1629,RCC Slab,7,3.1,0,Completed,15.3,2017
354,65-H001-416,Duduwa nala ,Mahendra Rajmarga,Banke,Duduwa nala ,823.63,43.2,RW-7.9 | CW-7,2,Well Foundation,,Nepalgunj,Mid-Western,1306,28.1978 | 81.6957,RCC T-Beam,6,3.6,0,Completed,22.1+21.1,2017
355,65-H001-396,Kale Khola,Mahendra Rajmarga,Banke,Kale Khola,773,10.7,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1286,28.0316 | 82.0485,RCC Slab,8,3.1,0,Completed,10.7,2017
356,65-H001-397,Gabar ,Mahendra Rajmarga,Banke,Gabar ,775.55,53.2,RW-7.9 | CW-7,2,Well Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1287,28.0272 | 82.0296,RCC T-Beam,7,3.1,0,Completed,26.6,2017
357,65-H001-406,Sukhar ,Mahendra Rajmarga,Banke,Sukhar ,787.39,105.8,RW-7.9 | CW-7,4,Well Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1296,28.0583 | 81.9371,RCC T-Beam,8,3.1,0,Completed,26.45,2017
358,65-H001-409,Muguwa ,Mahendra Rajmarga,Banke,Muguwa ,798.96,44.5,RW-8 | CW-7.5,5,RCC Foundation,,Nepalgunj,Mid-Western,1299,28.1370 | 81.8832,RCC Slab,8,3.6,0,Completed,8.9,2017
359,65-H001-402,Jhuri Khola ,Mahendra Rajmarga,Banke,Jhuri Khola ,785.66,64.2,RW-8 | CW-7,3,Well Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1292,28.0495 | 81.9557,RCC T-Beam,8,3.1,0,Completed,21.4,2017
360,65-H001-399,Lumba Khola,Mahendra Rajmarga,Banke,Lumba Khola,781.34,64.2,RW-7.9 | CW-7,3,Well Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1289,28.0374 | 81.9799,RCC T-Beam,8,3.1,0,Completed,21.4,2017
361,65-H001-407,Khairi ,Mahendra Rajmarga,Banke,Khairi ,789.01,104.7,RW-7.9 | CW-7,4,Well Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1297,28.0585 | 81.9263,RCC T-Beam,8,3.6,0,Completed,"25.7*2, 26.6*2",2017
362,65-H001-394,Sauri ,Mahendra Rajmarga,Banke,Sauri ,770.88,43.2,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1284,28.0273 | 82.0658,RCC Slab,8,3.1,0,Completed,10.8,2017
363,65-H001-400,Gantahawa ,Mahendra Rajmarga,Banke,Gantahawa ,784.05,17.4,RW-7.8 | CW-7,2,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1290,28.0384 | 81.9615,RCC Slab,8,3.1,0,Completed,8.7,2017
364,65-H001-398,Bhatti Khola,Mahendra Rajmarga,Banke,Bhatti Khola,776.37,16.4,RW-7.92 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1288,28.0327 | 82.0253,RCC T-Beam,7,3.1,0,Completed,16.4,2017
365,65-H001-405,Gandhali ,Mahendra Rajmarga,Banke,Gandhali ,787.3,32.1,RW-7.8 | CW-7,3,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1295,28.0587 | 81.9418,RCC Slab,7,3.1,0,Completed,10.7,2017
366,65-H001-404,Skew ,Mahendra Rajmarga,Banke,Skew ,786.675,11.45,RW-7.8 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1294,28.0575 | 81.9476,RCC Slab,7,3.1,0,Completed,11.45,2017
367,65-H001-403,Skew ,Mahendra Rajmarga,Banke,Skew ,786.26,12.6,RW-10.5 | CW-6,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1293,28.0547 | 81.9504,RCC Slab,7,3.1,0,Completed,12.6,2017
368,65-H001-411,Changai Nala,Mahendra Rajmarga,Banke,Changai Nala,811.39,21.3,RW-8 | CW-7.1,2,RCC Foundation,,Nepalgunj,Mid-Western,1301,28.1300 | 81.7697,RCC Slab,6,3.1,0,Completed,10.65,2017
369,65-H001-414,Jhijhari Khola,Mahendra Rajmarga,Banke,Jhijhari Khola,815.74,63.4,RW-7.9 | CW-7,3,Well Foundation,,Nepalgunj,Mid-Western,1304,28.1596 | 81.7526,RCC T-Beam,6,3.6,0,Completed,20.90+21.15+21.35,2017
370,65-H001-413,Geruaa Nala,Mahendra Rajmarga,Banke,Geruaa Nala,815.19,21.35,RW-7.95 | CW-7,1,RCC Foundation,,Nepalgunj,Mid-Western,1303,28.1590 | 81.7575,RCC T-Beam,6,3.6,0,Completed,21.35,2017
371,65-H001-412,Naya Gaon ,Mahendra Rajmarga,Banke,Naya Gaon ,813.21,10,RW-7.96 | CW-7,1,RCC Foundation,,Nepalgunj,Mid-Western,1302,28.1432 | 81.7676,RCC Slab,6,3.6,,Completed,10,2017
372,65-H001-408,Skew ,Mahendra Rajmarga,Banke,Skew ,790.045,12.6,RW-7.95 | CW-6.95,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1298,28.0679 | 81.9187,RCC Slab,7,3.6,0,Completed,12.6,2017
373,65-H001-395,Khochani ,Mahendra Rajmarga,Banke,Khochani ,771.32,21.45,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1285,28.0293 | 82.0633,RCC T-Beam,7,3.1,0,Completed,21.45,2017
374,65-H001-535,Obhary Bridge,Mahendra Rajmarga,Banke,Sikkta Sinchai Nahar,805.1,20.5,RW-9.5 | CW-7.5,1,RCC Foundation,,Nepalgunj,Mid-Western,1748,28.1244 | 81.8220,RCC T-Beam,8,3.6,,Completed,20.4,2017
375,65-H001-401,Thin Kholi ,Mahendra Rajmarga,Banke,Thin Kholi ,785.38,21.4,RW-7.8 | CW-7,2,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1291,28.0474 | 81.9579,RCC Slab,7,3.1,0,Completed,2 * 10.7,2017
376,65-H001-393,Skew ,Mahendra Rajmarga,Banke,Skew ,769.99,9,RW-9.9 | CW-6.8,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1283,28.0202 | 82.0699,RCC Slab,7,3.1,0,Completed,9,2017
377,65-H001-418,Maitihawa Khola,Mahendra Rajmarga,Banke,Maitihawa Khola,829,6.2,RW-9.2 | CW-5.9,2,Open Foundation,,Nepalgunj,Mid-Western,1308,28.1972 | 81.6434,RCC Slab,7,3.6,0,Completed,3.1,2017
378,65-H001-419,Khanjua Khola,Mahendra Rajmarga,Banke,Khanjua Khola,829.46,9.4,RW-9.3 | CW-6.1,2,Open Foundation,,Nepalgunj,Mid-Western,1309,28.1985 | 81.6383,RCC Slab,7,3.6,0,Completed,4.7,2017
379,65-H001-421,Jhamriniya khola,Mahendra Rajmarga,Banke,Jhamriniya khola,835.713,7.7,RW-12.4 | CW-5.8,2,Well Foundation,,Nepalgunj,Mid-Western,1311,28.2179 | 81.5818,RCC Slab,7,3.6,0,Completed,3.65,2017
380,65-H001-385,Gothelawa Nala,Mahendra Rajmarga,Banke,Gothelawa Nala,756.91,21.2,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1275,27.9941 | 82.1611,RCC T-Beam,7,3.1,0,Completed,21.2,2017
381,65-H001-382,Loki Khola,Mahendra Rajmarga,Banke,Loki Khola,755.09,16.4,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1272,27.9838 | 82.1747,RCC T-Beam,6,3.1,0,Completed,16.4,2017
382,65-H001-383,Bharley Khola,Mahendra Rajmarga,Banke,Bharley Khola,756.51,42.8,RW-7.9 | CW-7,4,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1273,27.9918 | 82.1641,RCC Slab,8,3.1,0,Completed,10.7,2017
383,65-H001-388,Bains Khola,Mahendra Rajmarga,Banke,Bains Khola,763.98,29.4,RW-8 | CW-7.1,2,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1278,28.0131 | 82.1185,RCC Slab,7,3.1,0,Completed,14.7,2017
384,65-H001-415,Rohini ,Mahendra Rajmarga,Banke,Rohini ,822.35,43.27,RW-7.9 | CW-7,2,Well Foundation,,Nepalgunj,Mid-Western,1305,28.1980 | 81.7092,RCC T-Beam,7,3.6,0,Completed,42.65,2017
385,65-H001-392,Dongi nala ,Mahendra Rajmarga,Banke,Dongi nala `,769.04,29.2,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1282,28.0160 | 82.0775,RCC T-Beam,7,3.1,0,Completed,29.2,2017
386,65-H001-389,Dapariya ,Mahendra Rajmarga,Banke,Dapariya ,766,10.7,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1279,28.0111 | 82.1033,RCC Slab,7,3.1,0,Completed,10.7,2017
387,65-H001-386,Tilkanya Khola,Mahendra Rajmarga,Banke,Tilkanya Khola,758.87,17.6,RW-7.9 | CW-7,2,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1276,28.0019 | 82.1466,RCC Slab,7,3.1,0,Completed,8.8,2017
388,65-H001-387,Ooj Khola ,Mahendra Rajmarga,Banke,Ooj Khola ,761.81,53.75,RW-7.9 | CW-7,5,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1277,28.0120 | 82.1312,RCC Slab,8,3.1,0,Completed,10.75,2017
389,65-H001-390,Ranigajari ,Mahendra Rajmarga,Banke,Ranigajari ,766.68,11.7,RW-7.9 | CW-7,1,RCC Foundation,IRC class A/AA,Nepalgunj,Mid-Western,1280,28.0104 | 82.0996,RCC Slab,7,3.1,0,Completed,11.7,2017
390,66-H001-449,Triple Cell,Mahendra Rajmarga,Bardiya,Triple Cell,879.483,9,RW-9.6 | CW-6.3,3,Open Foundation,,Nepalgunj,Mid-Western,1339,28.4617 | 81.3188,RCC Slab,7,3.6,0,Completed,3,2017
391,66-H001-429,Jurinya,Mahendra Rajmarga,Bardiya,Jurinya,846.39,9,RW-8.8 | CW-5.9,2,Open Foundation,,Nepalgunj,Mid-Western,1319,28.2603 | 81.4869,RCC Slab,7,3.6,0,Completed,4.5,2017
392,66-H001-431,Gang River,Mahendra Rajmarga,Bardiya,Gang River,850.72,35.8,RW-7.75 | CW-7.35,3,RCC Foundation,,Nepalgunj,Mid-Western,1321,28.2819 | 81.4546,RCC T-Beam,7,3.6,0,Completed,11.95 + 11.95 + 11.90,2017
393,66-H001-434,2 Cell,Mahendra Rajmarga,Bardiya,2 Cell,856.154,7.7,RW-15 | CW-6,2,Open Foundation,,Nepalgunj,Mid-Western,1324,28.3228 | 81.4395,RCC Slab,7,3.6,0,Completed,3.85,2017
394,66-H001-463,Karnali ,Mahendra Rajmarga,Bardiya,Karnali ,901.115,500,RW-11.3 | CW-7.2,2,RCC Foundation,HS 20 - 44,Nepalgunj,Mid-Western,1353,28.6412 | 81.2832,Cable Stayed,7,3.6,0,Completed,250,2017
395,66-H001-453,AuraiKhola,Mahendra Rajmarga,Bardiya,AuraiKhola,886.86,76.5,RW-8.35 | CW-7.55,3,RCC Foundation,,Nepalgunj,Mid-Western,1343,28.5291 | 81.3252,RCC T-Beam,7,3.6,0,Completed,25.5,2017
396,66-H001-438,Phardangwa Khola,Mahendra Rajmarga,Bardiya,Phardangwa Khola,862.57,48,RW-7.5 | CW-7.15,3,RCC Foundation,,Nepalgunj,Mid-Western,1328,28.3710 | 81.4170,RCC T-Beam,7,3.6,0,Completed,15+18+15,2017
397,66-H001-443,Budhi Khola,Mahendra Rajmarga,Bardiya,Budhi Khola,868.75,44.1,RW-7.56 | CW-6.2,3,RCC Foundation,,Nepalgunj,Mid-Western,1333,28.4083 | 81.3765,RCC T-Beam,7,3.6,0,Completed,12.1+20+12,2017
398,66-H001-450,Ambasa River,Mahendra Rajmarga,Bardiya,Ambasa River,880.66,50,RW-7.46 | CW-7.1,3,Well Foundation,,Nepalgunj,Mid-Western,1340,28.4743 | 81.3184,RCC T-Beam,6,3.6,0,Completed,15+20+15,2017
399,66-H001-444,2 Cell Slab,Mahendra Rajmarga,Bardiya,2 Cell Slab,869.71,7.5,RW-14.3 | CW-6.7,2,Open Foundation,,Nepalgunj,Mid-Western,1334,28.4169 | 81.3761,RCC Slab,7,3.6,0,Completed,3.75,2017
400,66-H001-446,Janata Khola Bridge,Mahendra Rajmarga,Bardiya,Janata Khola,872.404,21.2,RW-15 | CW-6.5,4,Open Foundation,,Nepalgunj,Mid-Western,1336,28.4296 | 81.3695,RCC Slab,7,3.6,0,Completed,5.3,2017
401,66-H001-456,Triple Cell,Mahendra Rajmarga,Bardiya,Triple Cell,888.46,11.5,RW-10.2 | CW-6.2,3,Open Foundation,,Nepalgunj,Mid-Western,1346,28.5420 | 81.3219,RCC Slab,7,3.6,0,Completed,3.833,2017
